country_iso3,country_name,utility_id,utility_name,year,indicator_id,indicator_name,category,subcategory,value,unit,direction,indicator_description,currency,value_usd,fx_rate_local_per_usd,source_id,source_institution,source_database,source_url,source_update_frequency,verification_level
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_COST_COVERAGE,Operating cost coverage ratio,financial,performance,163.8,%,higher_is_better,Total operating revenue / Total operating expenditure * 100,,,,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_DEPRECIATION,Depreciation and non-cash expenses,financial,costs,3435418.29,PHP,neutral,Depreciation and other non-cash expenses from the income statement,PHP,69748.17,49.254598,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_EQUITY,Total equity,financial,balance_sheet,102931933.9,PHP,neutral,Total equity / government equity from the Statement of Financial Position,PHP,2089793.4,49.254598,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_INTEREST_EXPENSE,Interest / financial expenses,financial,costs,11268.33,PHP,neutral,Financial expenses (interest on loans) from the income statement,PHP,228.78,49.254598,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_LOANS_PAYABLE,Outstanding loans payable,financial,debt,283099.99,PHP,lower_is_better,"Outstanding loan / long-term debt balance from the Statement of Financial Position (loans payable, bonds payable, long-term liabilities)",PHP,5747.69,49.254598,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_MOOE,Maintenance and other operating expenses,financial,costs,7903350.45,PHP,neutral,Maintenance and Other Operating Expenses (MOOE) line in government-format financial statements,PHP,160459.14,49.254598,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_NET_INCOME,Net income (loss),financial,performance,16282861.030000005,PHP,neutral,"Net income or loss after all revenue and expenses, from the audited Statement of Financial Performance / Comprehensive Income (parentheses denote a loss)",PHP,330585.6,49.254598,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_OPEX_TOTAL,Total operating expenses,financial,costs,25521836.39,PHP,lower_is_better,Total operating expenses / expenditures from the audited income statement,PHP,518161.5,49.254598,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_REVENUE,Total operating revenue,financial,performance,41804697.42,PHP,higher_is_better,Total operating revenue / service and business income (water sales plus other operating income) from the audited income statement,PHP,848747.1,49.254598,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_STAFF_COSTS,Personnel / staff costs,financial,costs,14171799.32,PHP,neutral,Total compensation and personnel services cost (absolute) from the income statement,PHP,287725.41,49.254598,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_STAFF_COST_SHARE,Staff cost share in operating expenditure,financial,costs,55.53,%,neutral,Staff costs / Operating expenditure * 100,,,,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_TOTAL_ASSETS,Total assets,financial,balance_sheet,103775522.38,PHP,neutral,Total assets from the Statement of Financial Position,PHP,2106920.5,49.254598,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2021,FIN_TOTAL_LIABILITIES,Total liabilities,financial,balance_sheet,843588.48,PHP,lower_is_better,Total liabilities from the Statement of Financial Position,PHP,17127.1,49.254598,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2022,FIN_COST_COVERAGE,Operating cost coverage ratio,financial,performance,134.97,%,higher_is_better,Total operating revenue / Total operating expenditure * 100,,,,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
PHL,Philippines,PHL_LWUA_ASINGAN,Asingan Water District,2022,FIN_DEPRECIATION,Depreciation and non-cash expenses,financial,costs,3450650.52,PHP,neutral,Depreciation and other non-cash expenses from the income statement,PHP,63340.51,54.477786,PHL_LWUA_AAR,COA (Commission on Audit),Annual Audit Reports of water districts,https://www.coa.gov.ph/,annual,3_verified
